aback,taken by surprise or caught off guard,,,,,,,,,,,
abase,to lower in rank, office, prestige, or esteem,,,,,,,,
abate,to reduce in degree or intensity; lessen,,,,,,,,,,,
abaya,a loose, usually black robe worn by Muslim women, especially in Arabic-speaking regions, covering the body from head to toe,,,,,,,,
abbey,a monastery or convent under the authority of an abbot or abbess,,,,,,,,,,,
abbot,the superior of a monastery or abbey,,,,,,,,,,,
abets,to encourage or assist (someone) to do something wrong, in particular, to commit a crime or other offense,,,,,,,,,
abhor,to regard with disgust and hatred,,,,,,,,,,,
abide,to accept or act in accordance with a rule, decision, or recommendation,,,,,,,,,
abode,a place of residence; a house or home,,,,,,,,,,,
abort,to terminate before completion; to fail to complete successfully,,,,,,,,,,,
about,on the subject of; concerning,,,,,,,,,,,
above,at a higher level or layer than; higher than in position,,,,,,,,,,,
abuse,the improper use of something; misuse,,,,,,,,,,,
abuts,to be adjacent to; to touch or lean on at one end or side,,,,,,,,,,,
abyss,a deep or seemingly bottomless chasm,,,,,,,,,,,
ached,experienced a dull, continuous pain,,,,,,,,,,
aches,pains or distresses,,,,,,,,,,,
acids,a chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red,,,,,,,,,
acing,to achieve high marks or perform very well in an examination or competition,,,,,,,,,,,
ackee,a tropical fruit with red or yellow skin and edible yellow flesh,,,,,,,,,,,
acorn,the fruit of the oak tree, a smooth oval nut in a rough cup-like base,,,,,,,,,,
acres,a unit of land area equal to 4,840 square yards or 4,047 square meters,,,,,,,,,
acrid,having an irritatingly strong and unpleasant taste or smell,,,,,,,,,,,
acted,performed a role or function; took action,,,,,,,,,,,
actin,a protein found in all eukaryotic cells, where it plays a role in cell shape, cell division, and cell movement,,,,,,,,
actor,a person whose profession is acting on the stage, in films, or on television,,,,,,,,,
acute,of an angle, less than 90°,,,,,,,,,,
adage,a proverb or short statement expressing a general truth,,,,,,,,,,,
adapt,to make (something) suitable for a new use or purpose; modify,,,,,,,,,,,
added,combined or mixed with something else to increase the size, number, or amount,,,,,,,,,
adder,a small venomous snake,,,,,,,,,,,
addle,to make (someone) unable to think clearly; confuse,,,,,,,,,,,
adept,very skilled or proficient at something,,,,,,,,,,,
adieu,a French term meaning farewell or goodbye,,,,,,,,,,,
adios,a Spanish term meaning farewell or goodbye,,,,,,,,,,,
adits,an entrance to a mine, tunnel, or cave,,,,,,,,,
adman,a person who works in advertising; an advertising executive,,,,,,,,,,,
admin,abbreviation for administration or administrative,,,,,,,,,,,
admit,to confess to be true or to be the case; acknowledge,,,,,,,,,,,
adobe,a brick or building material made of sun-dried earth and straw.,,,,,,,,,,,
adobo,a Philippine dish of meat or fish marinated in vinegar, soy sauce, garlic, and spices, then cooked until browned.,,,,,,,
adopt,to take up or start to use or follow (an idea, method, or course of action).,,,,,,,,,
adore,to love and respect (someone) deeply.,,,,,,,,,,,
adorn,to add beauty to; decorate.,,,,,,,,,,,
adult,a person who is fully grown or developed.,,,,,,,,,,,
adzes,a tool similar to an axe, with an arched blade at right angles to the handle, used for cutting or shaping large pieces of wood.,,,,,,,,,
aegis,the protection, backing, or support of a particular person or organization.,,,,,,,,,
aeons,an indefinitely long period of time; an age.,,,,,,,,,,,
aerie,a large nest of a bird of prey, especially an eagle, typically built high in a tree or on a cliff.,,,,,,,,,
affix,to attach, fasten, or stick (something) to something else.,,,,,,,,,
afire,on fire; burning.,,,,,,,,,,,
afoot,in preparation or progress; happening or beginning to happen.,,,,,,,,,,,
afore,before (in time or place); in front of.,,,,,,,,,,,
after,following in time or place; later than; subsequent to.,,,,,,,,,,,
again,another time; once more.,,,,,,,,,,,
agape,(of the mouth) wide open, especially with surprise or wonder.,,,,,,,,,,
agate,a precious stone consisting of a hard variety of chalcedony, typically banded in appearance.,,,,,,,,,,
agave,a plant native to hot, dry regions, especially the southwestern US and Mexico, that typically has a large rosette of thick, fleshy leaves.,,,,,,,
agent,a person who acts on behalf of another person or group.,,,,,,,,,,,
aggro,aggravation or aggression.,,,,,,,,,,,
agile,able to move quickly and easily.,,,,,,,,,,,
aging,the process of growing old or maturing.,,,,,,,,,,,
aglow,lit up; glowing.,,,,,,,,,,,
agony,extreme physical or mental suffering.,,,,,,,,,,,
agora,a public open space used for assemblies and markets in ancient Greece.,,,,,,,,,,,
agree,have the same opinion about something; concur.,,,,,,,,,,,
ahead,in or toward the front; in advance.,,,,,,,,,,,
ahold,hold onto or grasp (something).,,,,,,,,,,,
aided,help, assist, or support (someone or something) in the achievement of something.,,,,,,,,,
aider,a person who helps or assists someone.,,,,,,,,,,,
aides,a person who acts as an assistant.,,,,,,,,,,,
ailed,suffering from physical or mental illness.,,,,,,,,,,,
aimed,point or direct (a weapon or camera) at a target.,,,,,,,,,,,
aimer,a person who aims or directs something.,,,,,,,,,,,
aioli,a Mediterranean sauce made of garlic and olive oil, typically served with fish and vegetables.,,,,,,,,,,
aired,be broadcast on television or radio.,,,,,,,,,,,
aisle,a passage between rows of seats in a building such as a church or theater, an aircraft, or train.,,,,,,,,,
alarm,a sudden fear or distressing suspense caused by an awareness of danger; apprehension; fright.,,,,,,,,,,,
