aback,taken by surprise or caught off guard,,,,,,,,No,taken by surprise or caught off guard,,,,,,taken by surprise or caught off guard
abase,to lower in rank, office, prestige, or esteem,,,,,No,"to lower in rank, office, prestige, or esteem",,,,,,"to lower in rank, office, prestige, or esteem"
abate,to reduce in degree or intensity; lessen,,,,,,,,No,to reduce in degree or intensity; lessen,,,,,,to reduce in degree or intensity; lessen
abaya,a loose, usually black robe worn by Muslim women, especially in Arabic-speaking regions, covering the body from head to toe,,,,,No,"a loose, usually black robe worn by Muslim women, especially in Arabic-speaking regions, covering the body from head to toe",,,,,,"a loose, usually black robe worn by Muslim women, especially in Arabic-speaking regions, covering the body from head to toe"
abbey,a monastery or convent under the authority of an abbot or abbess,,,,,,,,No,a monastery or convent under the authority of an abbot or abbess,,,,,,a monastery or convent under the authority of an abbot or abbess
abbot,the superior of a monastery or abbey,,,,,,,,No,the superior of a monastery or abbey,,,,,,the superior of a monastery or abbey
abets,to encourage or assist (someone) to do something wrong, in particular, to commit a crime or other offense,,,,,,No,"to encourage or assist (someone) to do something wrong, in particular, to commit a crime or other offense",,,,,,"to encourage or assist (someone) to do something wrong, in particular, to commit a crime or other offense"
abhor,to regard with disgust and hatred,,,,,,,,No,to regard with disgust and hatred,,,,,,to regard with disgust and hatred
abide,to accept or act in accordance with a rule, decision, or recommendation,,,,,,No,"to accept or act in accordance with a rule, decision, or recommendation",,,,,,"to accept or act in accordance with a rule, decision, or recommendation"
abode,a place of residence; a house or home,,,,,,,,No,a place of residence; a house or home,,,,,,a place of residence; a house or home
abort,to terminate before completion; to fail to complete successfully,,,,,,,,No,to terminate before completion; to fail to complete successfully,,,,,,to terminate before completion; to fail to complete successfully
about,on the subject of; concerning,,,,,,,,No,on the subject of; concerning,,,,,,on the subject of; concerning
above,at a higher level or layer than; higher than in position,,,,,,,,No,at a higher level or layer than; higher than in position,,,,,,at a higher level or layer than; higher than in position
abuse,the improper use of something; misuse,,,,,,,,No,the improper use of something; misuse,,,,,,the improper use of something; misuse
abuts,to be adjacent to; to touch or lean on at one end or side,,,,,,,,No,to be adjacent to; to touch or lean on at one end or side,,,,,,to be adjacent to; to touch or lean on at one end or side
abyss,a deep or seemingly bottomless chasm,,,,,,,,No,a deep or seemingly bottomless chasm,,,,,,a deep or seemingly bottomless chasm
ached,experienced a dull, continuous pain,,,,,,,No,"experienced a dull, continuous pain",,,,,,"experienced a dull, continuous pain"
aches,pains or distresses,,,,,,,,No,pains or distresses,,,,,,pains or distresses
acids,a chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red,,,,,,No,"a chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red",,,,,,"a chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red"
acing,to achieve high marks or perform very well in an examination or competition,,,,,,,,No,to achieve high marks or perform very well in an examination or competition,,,,,,to achieve high marks or perform very well in an examination or competition
ackee,a tropical fruit with red or yellow skin and edible yellow flesh,,,,,,,,No,a tropical fruit with red or yellow skin and edible yellow flesh,,,,,,a tropical fruit with red or yellow skin and edible yellow flesh
acorn,the fruit of the oak tree, a smooth oval nut in a rough cup-like base,,,,,,,No,"the fruit of the oak tree, a smooth oval nut in a rough cup-like base",,,,,,"the fruit of the oak tree, a smooth oval nut in a rough cup-like base"
acres,a unit of land area equal to 4,840 square yards or 4,047 square meters,,,,,,No,"a unit of land area equal to 4,840 square yards or 4,047 square meters",,,,,,"a unit of land area equal to 4,840 square yards or 4,047 square meters"
acrid,having an irritatingly strong and unpleasant taste or smell,,,,,,,,No,having an irritatingly strong and unpleasant taste or smell,,,,,,having an irritatingly strong and unpleasant taste or smell
acted,performed a role or function; took action,,,,,,,,No,performed a role or function; took action,,,,,,performed a role or function; took action
actin,a protein found in all eukaryotic cells, where it plays a role in cell shape, cell division, and cell movement,,,,,No,"a protein found in all eukaryotic cells, where it plays a role in cell shape, cell division, and cell movement",,,,,,"a protein found in all eukaryotic cells, where it plays a role in cell shape, cell division, and cell movement"
actor,a person whose profession is acting on the stage, in films, or on television,,,,,,No,"a person whose profession is acting on the stage, in films, or on television",,,,,,"a person whose profession is acting on the stage, in films, or on television"
acute,of an angle, less than 90°,,,,,,,No,"of an angle, less than 90°",,,,,,"of an angle, less than 90°"
adage,a proverb or short statement expressing a general truth,,,,,,,,No,a proverb or short statement expressing a general truth,,,,,,a proverb or short statement expressing a general truth
adapt,to make (something) suitable for a new use or purpose; modify,,,,,,,,No,to make (something) suitable for a new use or purpose; modify,,,,,,to make (something) suitable for a new use or purpose; modify
added,combined or mixed with something else to increase the size, number, or amount,,,,,,No,"combined or mixed with something else to increase the size, number, or amount",,,,,,"combined or mixed with something else to increase the size, number, or amount"
